2025-06-05 09:48:17,206 - INFO - Aircraft model: f16
2025-06-05 09:48:17,206 - INFO - Simulation time: 100 seconds
2025-06-05 09:48:17,206 - INFO - Time step: 0.1 seconds
2025-06-05 09:48:17,207 - INFO - initial fuel: 3000.0
2025-06-05 09:48:17,207 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 6075.99750492351, 'u': 509.0753953860586, 'v': -37.00022126184336, 'w': -36.703391428160614, 'phi': -46.571279392040324, 'theta': -62.4469795125602, 'psi': 214.4987155510169, 'p': 0.0, 'q': 0.0, 'r': 0.0, 'time': 0.0, 'x-dist': 0.0, 'y-dist': 0.0, 'x': np.float64(0.0), 'y': 0.0, 'z': 6075.997504923509, 'alpha': -4.123783930751193, 'beta': -4.146292731068077, 'alphadot': 3.816038937627677, 'betadot': 0.13144380478047887, 'gamma': -62.06196005694027}
2025-06-05 09:48:17,207 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 6030.7884335518065, 'u': 511.27789174454585, 'v': -37.02529245380862, 'w': -33.53875910933061, 'phi': -46.571248063718535, 'theta': -62.4469151161552, 'psi': 214.49868777589316, 'p': 5.948708723707218, 'q': -0.1301851000737615, 'r': -3.146534588948114, 'time': 0.1, 'x-dist': 22.228229265922284, 'y-dist': 8.958018879003376, 'x': np.float64(-8.959220120342964), 'y': -22.231253167385752, 'z': 6030.788433551331, 'alpha': -3.7531060133619816, 'beta': -4.133115040065355, 'alphadot': 3.7238792051190246, 'betadot': 0.13216670424960103, 'gamma': -62.354018739614915}
2025-06-05 09:48:17,207 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5985.009725101312, 'u': 513.6278240198378, 'v': -34.5674783150769, 'w': -30.553991233708274, 'phi': -45.57393254740176, 'theta': -62.682501452871485, 'psi': 214.04524723349374, 'p': 10.973344511660189, 'q': 0.21542695015483826, 'r': -6.257633114297384, 'time': 0.2, 'x-dist': 44.0628101609782, 'y-dist': 18.176339080116186, 'x': np.float64(-18.178776468389735), 'y': -44.06880376308425, 'z': 5985.009725103731, 'alpha': -3.404321364757966, 'beta': -3.8434623200120868, 'alphadot': 3.6606485742358554, 'betadot': 2.847198853752991, 'gamma': -62.60435921243147}
2025-06-05 09:48:17,207 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5939.090849712489, 'u': 515.9267154328952, 'v': -30.115764951660804, 'w': -27.890643037478384, 'phi': -43.576238337476404, 'theta': -63.106273730669756, 'psi': 213.03377880748207, 'p': 7.282443247068211, 'q': 0.4533255906537032, 'r': -6.419163239520457, 'time': 0.30000000000000004, 'x-dist': 65.85020501427206, 'y-dist': 27.446875829236237, 'x': np.float64(-27.450556366576947), 'y': -65.85916125273565, 'z': 5939.090849717894, 'alpha': -3.094358412566724, 'beta': -3.335828754290602, 'alphadot': 3.516239818736767, 'betadot': 5.227553535754635, 'gamma': -62.813220138005306}
2025-06-05 09:48:17,208 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5892.938813325008, 'u': 518.0717155579698, 'v': -25.52784164131421, 'w': -25.89630450813368, 'phi': -41.848743150099686, 'theta': -63.50833220490594, 'psi': 211.91534214943684, 'p': -1.6406562295172684, 'q': 0.4107540686983008, 'r': -4.4255084402906135, 'time': 0.4, 'x-dist': 87.5765730982751, 'y-dist': 36.67837711121916, 'x': np.float64(-36.68329556318497), 'y': -87.58848302306438, 'z': 5892.9388133282955, 'alpha': -2.861601966751999, 'beta': -2.8174402559251055, 'alphadot': 2.7056938289831454, 'betadot': 5.314196903011019, 'gamma': -62.98181522124712}
2025-06-05 09:48:17,208 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5846.56738376619, 'u': 520.1092065319986, 'v': -22.284070660669187, 'w': -24.44223836825728, 'phi': -41.28962805662542, 'theta': -63.77118389732853, 'psi': 211.10824855836475, 'p': -8.239338745655797, 'q': 0.2133775983432531, 'r': -1.9186550126400304, 'time': 0.5, 'x-dist': 109.26724947215222, 'y-dist': 45.8936492965511, 'x': np.float64(-45.899803486993534), 'y': -109.2821075765886, 'z': 5846.567383768023, 'alpha': -2.6906032471130303, 'beta': -2.45063501310236, 'alphadot': 1.8495371178851092, 'betadot': 3.7088121303234423, 'gamma': -63.14126936690638}
2025-06-05 09:48:17,208 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5799.960503872481, 'u': 522.2132836118644, 'v': -20.93647510544276, 'w': -22.84633505107456, 'phi': -41.79254680472983, 'theta': -63.88238081729261, 'psi': 210.75057807432705, 'p': -8.878334714801142, 'q': -0.004368745521615456, 'r': 0.06331597820318365, 'time': 0.6, 'x-dist': 130.8994533733475, 'y-dist': 55.11455997650539, 'x': np.float64(-55.12195066167805), 'y': -130.9172510497045, 'z': 5799.960503876029, 'alpha': -2.505038539760264, 'beta': -2.2936702527583916, 'alphadot': 1.6827620266279784, 'betadot': 1.5638830156064218, 'gamma': -63.34490029449266}
2025-06-05 09:48:17,208 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5753.063684180385, 'u': 524.352168877099, 'v': -21.075857405798743, 'w': -21.210555480378474, 'phi': -42.69049829573228, 'theta': -63.878381519709244, 'psi': 210.76187087617916, 'p': -2.7393351708048925, 'q': -0.14688596359239764, 'r': 0.031647122365211326, 'time': 0.7, 'x-dist': 152.39820365040336, 'y-dist': 64.37445000451036, 'x': np.float64(-64.38308241159577), 'y': -152.4189220923464, 'z': 5753.063684178024, 'alpha': -2.3164071557042325, 'beta': -2.2998338395099283, 'alphadot': 1.7337564257210814, 'betadot': -0.16078762443398767, 'gamma': -63.54896271580984}
2025-06-05 09:48:17,208 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5705.903135582816, 'u': 526.5993692983278, 'v': -21.243461119694693, 'w': -19.231019902876, 'phi': -42.989516280447916, 'theta': -63.886935601247146, 'psi': 210.78981242138633, 'p': 5.828618450409124, 'q': -0.15934833309811164, 'r': -1.7644083860191164, 'time': 0.7999999999999999, 'x-dist': 173.7969618478632, 'y-dist': 73.71570448018583, 'x': np.float64(-73.72558952009994), 'y': -173.8205867991094, 'z': 5705.903135589373, 'alpha': -2.0914700992723927, 'beta': -2.308570057698336, 'alphadot': 2.0978267032460716, 'betadot': -0.19517221397015436, 'gamma': -63.759973073972134}
2025-06-05 09:48:17,209 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5658.454480104165, 'u': 528.8682621578663, 'v': -20.1550947274023, 'w': -17.27865741311743, 'phi': -42.1628746764828, 'theta': -64.01798067127616, 'psi': 210.5184709550962, 'p': 10.077837535625298, 'q': -0.12419308650616075, 'r': -3.570492635657473, 'time': 0.8999999999999999, 'x-dist': 195.0667977300471, 'y-dist': 83.14939928855024, 'x': np.float64(-83.16054935747958), 'y': -195.09331099971482, 'z': 5658.454480104017, 'alpha': -1.8712450784726296, 'beta': -2.181315160249963, 'alphadot': 2.26857673012446, 'betadot': 1.2445689677659104, 'gamma': -63.94827006216648}
2025-06-05 09:48:17,209 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5610.750733796507, 'u': 531.0027138132301, 'v': -17.82107753120684, 'w': -16.018522148473323, 'phi': -40.619424898521444, 'theta': -64.26330911214588, 'psi': 209.92317548011738, 'p': 6.596869532843783, 'q': -0.18335151668042393, 'r': -3.712106438624011, 'time': 0.9999999999999999, 'x-dist': 216.27324932901104, 'y-dist': 92.61480336966115, 'x': np.float64(-92.62722271998116), 'y': -216.3026416353593, 'z': 5610.750733796628, 'alpha': -1.7278922260494365, 'beta': -1.921319117349662, 'alphadot': 1.776881904616808, 'betadot': 2.685497319421121, 'gamma': -64.08304632371409}
