2025-06-05 09:50:14,564 - INFO - Aircraft model: f16
2025-06-05 09:50:14,564 - INFO - Simulation time: 100 seconds
2025-06-05 09:50:14,564 - INFO - Time step: 0.1 seconds
2025-06-05 09:50:14,564 - INFO - initial fuel: 3000.0
2025-06-05 09:50:14,564 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5593.833652395754, 'u': 658.8456933892928, 'v': -53.11851688237965, 'w': -15.456172364915233, 'phi': 17.233865777775893, 'theta': -43.406056567798764, 'psi': 173.67475010651862, 'p': 0.0, 'q': 0.0, 'r': 0.0, 'time': 0.0, 'x-dist': 0.0, 'y-dist': 0.0, 'x': np.float64(0.0), 'y': 0.0, 'z': 5593.833652394384, 'alpha': -1.3438822609405436, 'beta': -4.608159974562822, 'alphadot': 1.822837140123773, 'betadot': 2.349267562575612, 'gamma': -40.63521424884972}
2025-06-05 09:50:14,565 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5550.776635427056, 'u': 659.8896597497384, 'v': -50.479126395385514, 'w': -13.445845313971802, 'phi': 17.233883031764112, 'theta': -43.40591890698543, 'psi': 173.67473825017802, 'p': 14.410155057705461, 'q': -0.7244870914803375, 'r': -5.621365321529913, 'time': 0.1, 'x-dist': 49.12876951947373, 'y-dist': 10.08796417503927, 'x': np.float64(10.08931693840817), 'y': -49.13544534597944, 'z': 5550.776635423478, 'alpha': -1.167291512270046, 'beta': -4.373492393305936, 'alphadot': 1.7812643791732423, 'betadot': 2.3440736995403904, 'gamma': -40.88258371916292}
2025-06-05 09:50:14,565 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5507.204832993444, 'u': 661.3460450602586, 'v': -41.852749574267975, 'w': -11.40254429174098, 'phi': 19.200282897209252, 'theta': -43.29887463446943, 'psi': 172.90931844248777, 'p': 23.747514708434757, 'q': -1.4596181752786004, 'r': -10.93732440373882, 'time': 0.2, 'x-dist': 98.08923964097742, 'y-dist': 19.785594528734453, 'x': np.float64(19.788247713133266), 'y': -98.10256704879303, 'z': 5507.204832993043, 'alpha': -0.9877626751672237, 'beta': -3.6205515368453356, 'alphadot': 1.9955871273782386, 'betadot': 7.531426904660877, 'gamma': -41.10145989674379}
2025-06-05 09:50:14,565 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5463.522571209827, 'u': 662.6543712706027, 'v': -28.965247023964253, 'w': -10.968427596705453, 'phi': 22.581955325175343, 'theta': -43.04513414642316, 'psi': 171.43718088089506, 'p': 4.81873239308012, 'q': -1.676120497620534, 'r': -7.945193407542759, 'time': 0.30000000000000004, 'x-dist': 147.03490821195177, 'y-dist': 29.39244622675464, 'x': np.float64(29.396387659381585), 'y': -147.05488381137107, 'z': 5463.522571205083, 'alpha': -0.9482880558446957, 'beta': -2.50251694332442, 'alphadot': 0.9627192104424112, 'betadot': 11.67763554822923, 'gamma': -41.17943352556635}
2025-06-05 09:50:14,565 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5419.847170207633, 'u': 663.452526483916, 'v': -18.978645478811565, 'w': -12.655991050277237, 'phi': 23.80551659935065, 'theta': -42.886144588472064, 'psi': 170.34897861287615, 'p': -17.721523656882304, 'q': -0.7862945476611637, 'r': -3.713229205117965, 'time': 0.4, 'x-dist': 196.0266454590021, 'y-dist': 39.081337709219895, 'x': np.float64(39.086578391827246), 'y': -196.05327413184799, 'z': 5419.847170208599, 'alpha': -1.0928392101091162, 'beta': -1.6382516502273832, 'alphadot': -1.1335765948036491, 'betadot': 8.777228466011046, 'gamma': -41.21651840113705}
2025-06-05 09:50:14,565 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5376.09327606111, 'u': 664.1367740328837, 'v': -13.718140971043454, 'w': -13.312010556061296, 'phi': 22.3789195572031, 'theta': -42.812701990253125, 'psi': 169.84107655371056, 'p': -25.690201980062774, 'q': 0.2950284202464039, 'r': 2.2385603874186146, 'time': 0.5, 'x-dist': 245.03869006051832, 'y-dist': 48.60248372785546, 'x': np.float64(48.609001166953995), 'y': -245.07197318115092, 'z': 5376.093276057642, 'alpha': -1.1482874177277458, 'beta': -1.1830726448677638, 'alphadot': -0.7454659445075295, 'betadot': 4.687583882280472, 'gamma': -41.2972119213921}
2025-06-05 09:50:14,565 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5332.171948544685, 'u': 664.9146862298919, 'v': -14.935126997817413, 'w': -12.060720369270314, 'phi': 19.606783998085554, 'theta': -42.8651978230091, 'psi': 170.14043715745603, 'p': -13.637935370185875, 'q': 0.074218524362886, 'r': 6.524536897672562, 'time': 0.6, 'x-dist': 293.9912132748197, 'y-dist': 58.16177003170598, 'x': np.float64(58.16956934257952), 'y': -294.0311413627448, 'z': 5332.171948539619, 'alpha': -1.039159787358205, 'beta': -1.2865337864875426, 'alphadot': 0.8395492244899675, 'betadot': -1.0159747433989914, 'gamma': -41.44886751116302}
2025-06-05 09:50:14,565 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5288.016072075813, 'u': 665.7691197520137, 'v': -19.969881710755146, 'w': -10.366968220986905, 'phi': 17.665055188992703, 'theta': -43.06650808190515, 'psi': 170.98848230795724, 'p': 17.698633027058833, 'q': -1.2892134058950924, 'r': 1.815996313008033, 'time': 0.7, 'x-dist': 342.8709282436369, 'y-dist': 67.66418512219329, 'x': np.float64(67.67325867953623), 'y': -342.91749000120217, 'z': 5288.016072074841, 'alpha': -0.8921043455433036, 'beta': -1.7178754284116304, 'alphadot': 1.2874396077068444, 'betadot': -4.709402285813065, 'gamma': -41.680643346706795}
2025-06-05 09:50:14,565 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5243.552187699834, 'u': 666.882479213785, 'v': -19.69624851135226, 'w': -8.846306796424415, 'phi': 19.3116466420335, 'theta': -43.24620933030262, 'psi': 171.16850438744737, 'p': 41.54937362770826, 'q': -2.024889607593165, 'r': -7.947171407710278, 'time': 0.7999999999999999, 'x-dist': 391.6678535698166, 'y-dist': 76.87858148667029, 'x': np.float64(76.88889066915492), 'y': -391.72103632680137, 'z': 5243.552187702916, 'alpha': -0.7599934517253243, 'beta': -1.691579541666795, 'alphadot': 1.1717337769947667, 'betadot': -0.050870963387523, 'gamma': -41.95532083668749}
2025-06-05 09:50:14,566 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5198.77023348956, 'u': 667.8810475510759, 'v': -9.67116395247745, 'w': -9.11813122145179, 'phi': 24.22767113078496, 'theta': -43.139454905252734, 'psi': 170.05390907014927, 'p': 27.983417809508296, 'q': -1.8019455931546793, 'r': -12.874707352901298, 'time': 0.8999999999999999, 'x-dist': 440.35823917409596, 'y-dist': 85.92689964417458, 'x': np.float64(85.93842218243189), 'y': -440.418027023315, 'z': 5198.770233488021, 'alpha': -0.7821721901871089, 'beta': -0.8295287511037025, 'alphadot': 0.44745777751547083, 'betadot': 8.870949199106388, 'gamma': -42.08429069516538}
2025-06-05 09:50:14,566 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5153.977479379614, 'u': 668.5508207671248, 'v': 4.489888234391373, 'w': -10.587374930999431, 'phi': 28.173978699203598, 'theta': -42.73266173226393, 'psi': 168.36791202067513, 'p': -19.339913121782686, 'q': -0.8519117700548823, 'r': -6.848233982162796, 'time': 0.9999999999999999, 'x-dist': 489.0994678997733, 'y-dist': 94.97669784915234, 'x': np.float64(94.98943394302131), 'y': -489.1658663377997, 'z': 5153.977479380565, 'alpha': -0.9072776190134995, 'beta': 0.3847359400172501, 'alphadot': -0.7265941572411811, 'betadot': 12.771405847512787, 'gamma': -42.10986898912904}
2025-06-05 09:50:14,566 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5109.149787310513, 'u': 668.9430431355984, 'v': 12.711864315191129, 'w': -11.29583603719675, 'phi': 26.83506764237162, 'theta': -42.491848159137334, 'psi': 167.48923841189256, 'p': -48.08974672100686, 'q': 0.454431146835768, 'r': 1.3060490121773374, 'time': 1.0999999999999999, 'x-dist': 537.8647217783739, 'y-dist': 104.19214461486737, 'x': np.float64(104.20611647885286), 'y': -537.937732654556, 'z': 5109.149787310051, 'alpha': -0.9674100561500185, 'beta': 1.088500362180403, 'alphadot': -0.5023455799719582, 'betadot': 7.170939590452711, 'gamma': -42.104406362720056}
2025-06-05 09:50:14,566 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5064.283783055846, 'u': 669.8074456464169, 'v': 11.41558864854273, 'w': -8.592357951480551, 'phi': 21.902827881180354, 'theta': -42.50418356908397, 'psi': 167.67587111758516, 'p': -41.58882591146487, 'q': 0.15144859259556714, 'r': 11.858675212177012, 'time': 1.2, 'x-dist': 586.6722964737667, 'y-dist': 113.326348498487, 'x': np.float64(113.3415452398366), 'y': -586.7519241173553, 'z': 5064.283783058517, 'alpha': -0.7349557666211611, 'beta': 0.976322289559253, 'alphadot': 2.119912833741717, 'betadot': -0.8097659619224982, 'gamma': -42.175499198913634}
2025-06-05 09:50:14,566 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5019.208979435267, 'u': 670.9171383390885, 'v': -0.6211278770796396, 'w': -6.470548900762765, 'phi': 16.709321698904223, 'theta': -42.8815768467012, 'psi': 169.20434281446984, 'p': 2.9963935501514714, 'q': -2.2391817330107116, 'r': 11.999214072088451, 'time': 1.3, 'x-dist': 635.4052789650876, 'y-dist': 122.65304499877215, 'x': np.float64(122.66949243202328), 'y': -635.4915118001646, 'z': 5019.208979435452, 'alpha': -0.552562497193275, 'beta': -0.053041335112550374, 'alphadot': 1.9627031131431705, 'betadot': -10.65567919848741, 'gamma': -42.33700206116537}
2025-06-05 09:50:14,566 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 4973.880135688925, 'u': 671.9193219661367, 'v': -12.617430584738996, 'w': -6.9670045522367445, 'phi': 15.988408156258215, 'theta': -43.43408391322911, 'psi': 170.69629342972192, 'p': 44.862201335476655, 'q': -3.091226081732855, 'r': 4.522765555600553, 'time': 1.4000000000000001, 'x-dist': 684.0991221505594, 'y-dist': 131.69919660010655, 'x': np.float64(131.71685710693583), 'y': -684.1919533955635, 'z': 4973.880135691495, 'alpha': -0.5940678277693031, 'beta': -1.0757269474379847, 'alphadot': -0.650798157527206, 'betadot': -10.607959695377733, 'gamma': -42.56061678330118}
2025-06-05 09:50:14,566 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 4928.262185472996, 'u': 672.6039774665733, 'v': -16.209140567465873, 'w': -8.535738636649455, 'phi': 20.1538849005086, 'theta': -43.867796269272006, 'psi': 171.15764214415432, 'p': 49.22777538378515, 'q': -1.6605789804874511, 'r': -5.5742449618172785, 'time': 1.5000000000000002, 'x-dist': 732.7126000700863, 'y-dist': 140.59460151381367, 'x': np.float64(140.61345488156942), 'y': -732.8120173312449, 'z': 4928.262185473766, 'alpha': -0.727077988237865, 'beta': -1.3803975537123225, 'alphadot': -1.1374720386695458, 'betadot': -3.2103260246556635, 'gamma': -42.70081939240634}
2025-06-05 09:50:14,566 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 4882.584122322526, 'u': 673.3397345708756, 'v': -8.207851991611122, 'w': -9.162371067553636, 'phi': 25.62822450581289, 'theta': -43.80388193075024, 'psi': 170.35691317337913, 'p': 22.685177605612115, 'q': 0.5031990279674758, 'r': -15.161265159073436, 'time': 1.6000000000000003, 'x-dist': 781.3617643413958, 'y-dist': 149.2875307989182, 'x': np.float64(149.3075498783633), 'y': -781.467771017113, 'z': 4882.58412232763, 'alpha': -0.7795957498017128, 'beta': -0.6983227597503154, 'alphadot': 0.06480188726356521, 'betadot': 6.805659011627007, 'gamma': -42.79826331809483}
2025-06-05 09:50:14,567 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 4836.786630526173, 'u': 673.8786411103264, 'v': 8.64505349008003, 'w': -8.904612818423516, 'phi': 29.148789168041027, 'theta': -43.06172883179758, 'psi': 168.53545109438085, 'p': -30.075450330726127, 'q': 0.6636061240729204, 'r': -9.006740171707726, 'time': 1.7000000000000004, 'x-dist': 830.01001727847, 'y-dist': 157.80345235793342, 'x': np.float64(157.8246134150984), 'y': -830.1226117822587, 'z': 4836.786630522429, 'alpha': -0.7570607075160516, 'beta': 0.734931553785155, 'alphadot': 0.7185330843157933, 'betadot': 15.112167568186871, 'gamma': -42.75028866122966}
2025-06-05 09:50:14,567 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 4791.091946996752, 'u': 674.1184570674318, 'v': 19.345938549620953, 'w': -8.339154918480858, 'phi': 26.84977189277449, 'theta': -42.58031813280601, 'psi': 167.49409136204727, 'p': -54.2062413922017, 'q': -0.21480503239640253, 'r': 0.1917798135242781, 'time': 1.8000000000000005, 'x-dist': 878.7832265550296, 'y-dist': 166.599875254601, 'x': np.float64(166.6222159065369), 'y': -878.902424430339, 'z': 4791.091946998826, 'alpha': -0.7087389561056479, 'beta': 1.6437048102405032, 'alphadot': 0.49314830901396006, 'betadot': 9.269315832379766, 'gamma': -42.664910910503124}
