2025-06-05 09:54:28,447 - INFO - Aircraft model: f16
2025-06-05 09:54:28,447 - INFO - Simulation time: 100 seconds
2025-06-05 09:54:28,447 - INFO - Time step: 0.1 seconds
2025-06-05 09:54:28,447 - INFO - initial fuel: 3000.0
2025-06-05 09:54:28,447 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 4999.999999999989, 'u': 499.99999999999994, 'v': 6.008942544013731e-14, 'w': -10.0, 'phi': 1.4342393335712718e-30, 'theta': 9.999999999999986, 'psi': 180.0, 'p': 0.0, 'q': 0.0, 'r': 0.0, 'time': 0.0, 'x-dist': 0.0, 'y-dist': 0.0, 'x': np.float64(0.0), 'y': 0.0, 'z': 4999.999999999939, 'alpha': -1.1457628381751026, 'beta': 6.884364206990168e-15, 'alphadot': 3.3044277045492496, 'betadot': 0.0016152908844860457, 'gamma': 11.145762838175092}
2025-06-05 09:54:28,447 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5009.667831029751, 'u': 498.7539316767235, 'v': 0.0013876377576235897, 'w': -7.1212160235112805, 'phi': -1.95954830841632e-10, 'theta': 10.000135220902534, 'psi': 179.99999999996598, 'p': 4.141010757025583e-14, 'q': -0.48207149750285355, 'r': 1.4580583591921586e-14, 'time': 0.1, 'x-dist': 49.048339135138995, 'y-dist': 7.047083644819789e-05, 'x': np.float64(-7.048028756692108e-05), 'y': -49.05499548772534, 'z': 5009.667831026251, 'alpha': -0.8180144042446897, 'beta': 0.00015939259643230614, 'alphadot': 3.297813291882499, 'betadot': 0.0016235925939963218, 'gamma': 10.818149624970554}
2025-06-05 09:54:28,447 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5018.749900255337, 'u': 497.5332219962631, 'v': 0.0026661239187010565, 'w': -5.002848281641647, 'phi': -6.857150315682251e-10, 'theta': 9.952062910379524, 'psi': 179.9999998241155, 'p': -0.00031473424094104316, 'q': -0.8918548875059217, 'r': 0.00010729890271990556, 'time': 0.2, 'x-dist': 97.95729966990292, 'y-dist': 0.00027333644888747293, 'x': np.float64(-0.00027337310311202395), 'y': -97.97059374643035, 'z': 5018.749900251311, 'alpha': -0.5761071206557297, 'beta': 0.0003070145257297082, 'alphadot': 2.5589545165207093, 'betadot': 0.0015344555332653536, 'gamma': 10.52817003088239}
2025-06-05 09:54:28,447 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5027.72004342453, 'u': 496.3237649107744, 'v': 0.0037937337433143646, 'w': -3.3849053619182428, 'phi': -2.9596609031196036e-05, 'theta': 9.863012143011803, 'psi': 180.0000104145412, 'p': -0.0008492098285891532, 'q': -1.0526722638513324, 'r': 0.00031084713394513027, 'time': 0.30000000000000004, 'x-dist': 146.81798569849542, 'y-dist': 0.0006007107138058268, 'x': np.float64(-0.0006007912678010725), 'y': -146.8379112280828, 'z': 5027.7200434249235, 'alpha': -0.3907485360173313, 'beta': 0.000437939693024704, 'alphadot': 1.9578199794508493, 'betadot': 0.0013505989585987969, 'gamma': 10.253760678952808}
2025-06-05 09:54:28,448 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5036.433257896453, 'u': 495.131675104045, 'v': 0.004696139504830417, 'w': -2.0308472933021733, 'phi': -0.00010912128053482447, 'theta': 9.757879435736758, 'psi': 180.00004170591467, 'p': -0.001231064712487915, 'q': -1.0162630076152104, 'r': 0.0005111997708785533, 'time': 0.4, 'x-dist': 195.60111876068626, 'y-dist': 0.0010465623198533626, 'x': np.float64(-0.0010467026605207282), 'y': -195.62766548398736, 'z': 5036.433257899316, 'alpha': -0.2350048120169627, 'beta': 0.0005434245552383916, 'alphadot': 1.642309494628814, 'betadot': 0.0010873166275741594, 'gamma': 9.992884248334924}
2025-06-05 09:54:28,448 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5044.9088687151725, 'u': 493.9622097221754, 'v': 0.005388327892163337, 'w': -0.7575535198162697, 'phi': -0.00022343372079902332, 'theta': 9.656387434217761, 'psi': 180.0000934969112, 'p': -0.0012187595200305308, 'q': -0.9431232162463058, 'r': 0.0006168432048226127, 'time': 0.5, 'x-dist': 244.30557049837194, 'y-dist': 0.0016074859936332257, 'x': np.float64(-0.0016077015523777677), 'y': -244.3387279916581, 'z': 5044.90886871902, 'alpha': -0.08787025516758408, 'beta': 0.0006250034470236066, 'alphadot': 1.545415064110557, 'betadot': 0.000839480038879082, 'gamma': 9.744257691237218}
2025-06-05 09:54:28,448 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5053.15835622324, 'u': 492.8173760298731, 'v': 0.005950244630232164, 'w': 0.47368142047419326, 'phi': -0.0003347897601008473, 'theta': 9.56220918963758, 'psi': 180.0001561809117, 'p': -0.0009295701600799696, 'q': -0.9519235974616828, 'r': 0.0006174414429137841, 'time': 0.6, 'x-dist': 292.93132290764476, 'y-dist': 0.002280560126161702, 'x': np.float64(-0.002280865942189602), 'y': -292.97108073401074, 'z': 5053.158356227254, 'alpha': 0.05507098407902321, 'beta': 0.0006917851591023681, 'alphadot': 1.4972172129167471, 'betadot': 0.0006882258530302953, 'gamma': 9.50713820890167}
2025-06-05 09:54:28,448 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5061.192627638571, 'u': 491.688543061771, 'v': 0.006464172950236111, 'w': 1.6072814319490476, 'phi': -0.000417294809718802, 'theta': 9.467150691051831, 'psi': 180.00021907244349, 'p': -0.0007010427714857516, 'q': -1.058770995375537, 'r': 0.0005793401036067416, 'time': 0.7, 'x-dist': 341.47850532110385, 'y-dist': 0.003061647764711755, 'x': np.float64(-0.003062058323199721), 'y': -341.52485305114857, 'z': 5061.192627638885, 'alpha': 0.18729359433840267, 'beta': 0.0007532570251601816, 'alphadot': 1.3818219801080238, 'betadot': 0.0006369897779413967, 'gamma': 9.279857101392487}
2025-06-05 09:54:28,448 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5069.01989782976, 'u': 490.56546689961783, 'v': 0.006957878755157701, 'w': 2.578758984484381, 'phi': -0.00047765774680573784, 'theta': 9.361407241207095, 'psi': 180.0002782492713, 'p': -0.0007757822982621419, 'q': -1.2065126399918933, 'r': 0.0005816804629967513, 'time': 0.7999999999999999, 'x-dist': 389.94596916455004, 'y-dist': 0.003945344536245783, 'x': np.float64(-0.0039458735958068395), 'y': -389.998896203308, 'z': 5069.0198978311255, 'alpha': 0.30118435813777805, 'beta': 0.0008126368568125248, 'alphadot': 1.1876863297508446, 'betadot': 0.0006191107891556585, 'gamma': 9.06022288892975}
2025-06-05 09:54:28,448 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5076.6462751440695, 'u': 489.45225040656493, 'v': 0.0073987905691879075, 'w': 3.365541113687925, 'phi': -0.0005455344942623194, 'theta': 9.240889417185146, 'psi': 180.00033784374196, 'p': -0.0011123283682653463, 'q': -1.3240414519970065, 'r': 0.0006521754148731595, 'time': 0.8999999999999999, 'x-dist': 438.33209749184607, 'y-dist': 0.0049261045878115335, 'x': np.float64(-0.004926765162875537), 'y': -438.39159301545243, 'z': 5076.646275147113, 'alpha': 0.39396746549866085, 'beta': 0.0008660894936347829, 'alphadot': 0.967884866086637, 'betadot': 0.0005599277741190553, 'gamma': 8.84692195892281}
2025-06-05 09:54:28,448 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5084.077862735842, 'u': 488.34982462153954, 'v': 0.0077368757460955975, 'w': 4.005924824223712, 'phi': -0.0006460130665729315, 'theta': 9.108618502624804, 'psi': 180.0004048180129, 'p': -0.0014613290441284985, 'q': -1.381746561579496, 'r': 0.0007547510478875466, 'time': 0.9999999999999999, 'x-dist': 486.6370499272826, 'y-dist': 0.005999464983881834, 'x': np.float64(-0.0060002694948417135), 'y': -486.70310312451056, 'z': 5084.07786273888, 'alpha': 0.4699857069712754, 'beta': 0.0009077005682661751, 'alphadot': 0.7924311676561179, 'betadot': 0.00043768439992378845, 'gamma': 8.638632804812286}
