#{"t_start": 1749135669.2434473, "env_id": "None"}
r,l,t,terminated,truncated,episode_count
-444.351513,249,0.198722,True,False,1
-434.579779,134,0.296132,True,False,2
-257.325501,386,0.57183,True,False,3
-66.213887,471,0.914908,True,False,4
-374.342422,405,1.203579,True,False,5
-378.325367,147,1.319781,True,False,6
-457.416665,168,1.443856,True,False,7
-326.821197,368,2.630657,True,False,8
-423.981544,159,2.746607,True,False,9
-431.540781,264,2.939046,True,False,10
-456.744318,232,3.108348,True,False,11
-75.468114,453,3.468786,True,False,12
-349.094896,143,3.571872,True,False,13
-369.768608,152,3.683652,True,False,14
-514.284803,379,4.867552,True,False,15
-574.270061,254,5.078911,True,False,16
-423.749428,167,5.195384,True,False,17
-342.639246,261,5.414171,True,False,18
-18.232375,464,5.744592,True,False,19
-642.48604,322,5.977111,True,False,20
-410.214925,108,6.056125,True,False,21
-332.312008,89,6.120652,True,False,22
-365.698965,330,6.36009,True,False,23
128.911252,536,7.903505,True,False,24
-596.719118,358,8.160007,True,False,25
-242.256965,428,8.4858,True,False,26
-334.639545,307,8.704951,True,False,27
-397.036648,335,8.945899,True,False,28
-400.034559,166,9.981369,True,False,29
-436.200543,143,10.086292,True,False,30
-427.754055,262,10.279982,True,False,31
-307.544289,101,10.356521,True,False,32
-528.468943,217,10.51485,True,False,33
-440.25228,292,10.724446,True,False,34
-381.158956,122,10.811332,True,False,35
-317.488715,99,10.883725,True,False,36
-360.078967,327,11.122752,True,False,37
-502.995268,219,11.280292,True,False,38
-345.780563,235,12.340618,True,False,39
-489.745742,175,12.463645,True,False,40
-387.346799,339,12.702612,True,False,41
-386.022131,272,12.920659,True,False,42
-346.486124,278,13.11393,True,False,43
-390.556147,354,13.39003,True,False,44
-59.461992,444,13.714948,True,False,45
-371.694879,329,14.852432,True,False,46
-350.305169,167,14.970022,True,False,47
-417.206556,245,15.142399,True,False,48
-421.641674,285,15.343729,True,False,49
-243.358256,374,15.605565,True,False,50
-454.021775,195,15.743083,True,False,51
-250.462486,386,16.016715,True,False,52
-475.712071,226,16.175341,True,False,53
-67.418648,450,17.476075,True,False,54
-284.789871,362,17.737587,True,False,55
-62.129978,471,18.077587,True,False,56
-271.40341,351,18.336999,True,False,57
-366.258484,291,18.5468,True,False,58
-84.184258,435,19.786405,True,False,59
-453.668,210,19.941511,True,False,60
-351.590492,275,20.138532,True,False,61
-402.920072,248,20.31551,True,False,62
-355.685859,61,20.360669,True,False,63
-384.218304,158,20.476276,True,False,64
-214.736861,413,20.77131,True,False,65
-573.801487,173,20.895446,True,False,66
-185.464127,402,22.081183,True,False,67
-296.450887,328,22.329223,True,False,68
-314.523266,322,22.57765,True,False,69
-438.602282,168,22.699924,True,False,70
-464.39412,217,22.856094,True,False,71
-573.632027,192,22.992453,True,False,72
-291.193264,328,23.226904,True,False,73
-355.904407,276,23.427423,True,False,74
-142.871413,446,24.652884,True,False,75
-362.822612,334,24.927799,True,False,76
-290.260728,104,25.002174,True,False,77
-400.627215,274,25.195874,True,False,78
-769.275576,314,25.424499,True,False,79
-200.307701,397,25.704847,True,False,80
-431.895847,118,25.787549,True,False,81
-404.108407,185,26.818944,True,False,82
-1022.880492,494,27.167601,True,False,83
-133.877844,435,27.47471,True,False,84
-376.580273,389,27.749414,True,False,85
-368.254037,121,27.83737,True,False,86
-386.263882,126,27.929536,True,False,87
-674.212335,415,29.135743,True,False,88
-575.056518,174,29.258946,True,False,89
-165.037102,407,29.580648,True,False,90
-519.217212,236,29.755352,True,False,91
-472.544021,155,29.866715,True,False,92
-418.248101,113,29.947045,True,False,93
-390.450345,204,30.096759,True,False,94
-194.656279,387,30.392818,True,False,95
-157.156698,386,31.590167,True,False,96
-384.091867,296,31.823253,True,False,97
-17.871269,446,32.148364,True,False,98
-238.623801,378,32.418009,True,False,99
-400.346202,293,33.60633,True,False,100
-394.276327,300,33.838093,True,False,101
-408.227762,280,34.045524,True,False,102
-450.990912,174,35.120102,True,False,103
-460.86875,230,35.284847,True,False,104
-441.742464,184,35.420311,True,False,105
-480.423094,210,35.573187,True,False,106
-402.134497,213,35.72669,True,False,107
-136.245316,396,36.042103,True,False,108
