#{"t_start": 1749140493.2645142, "env_id": "None"}
r,l,t,terminated,truncated,episode_count
-339.83805,115,1.114689,True,False,1
-371.074865,170,1.233579,True,False,2
-1015.694093,259,1.418478,True,False,3
-432.17733,221,1.573462,True,False,4
-362.773128,332,1.813991,True,False,5
-425.00562,129,1.908461,True,False,6
-341.57847,320,2.139994,True,False,7
-470.445612,224,2.303088,True,False,8
-460.060479,171,2.427709,True,False,9
-401.705698,186,3.508121,True,False,10
-355.915105,386,3.779969,True,False,11
-126.789899,419,4.10934,True,False,12
-263.813357,367,4.378666,True,False,13
-98.74914,417,4.686927,True,False,14
219.337573,631,6.05475,True,False,15
-263.753129,43,6.085493,True,False,16
-39.012176,459,6.448242,True,False,17
-474.919915,299,6.665323,True,False,18
-387.475577,291,6.873832,True,False,19
-177.490055,383,7.151915,True,False,20
-94.179043,433,8.374494,True,False,21
-344.817012,239,8.547324,True,False,22
-481.525244,191,8.687522,True,False,23
-468.264544,222,8.849789,True,False,24
-536.251375,198,8.99968,True,False,25
-8.361295,472,9.344796,True,False,26
-412.330409,225,9.508896,True,False,27
-658.879665,198,9.652117,True,False,28
-281.515459,365,10.912647,True,False,29
-451.714692,233,11.084312,True,False,30
-344.027431,296,11.319294,True,False,31
336.63471,636,11.787763,True,False,32
-367.52598,300,12.009114,True,False,33
-86.193196,427,13.250593,True,False,34
-465.479533,178,13.393522,True,False,35
-204.836009,368,13.683005,True,False,36
-313.307423,267,13.878719,True,False,37
313.481065,574,14.299035,True,False,38
-451.40096,247,14.476425,True,False,39
-211.438021,371,14.746065,True,False,40
-210.688062,373,15.963357,True,False,41
-317.341161,506,16.333058,True,False,42
-283.351997,371,16.602736,True,False,43
-474.876687,154,16.713956,True,False,44
-39.980904,445,17.037219,True,False,45
-425.679593,292,18.163928,True,False,46
-175.567816,372,18.489017,True,False,47
-578.712432,302,18.729805,True,False,48
-331.114845,321,18.97564,True,False,49
-396.664846,126,19.094515,True,False,50
-212.626172,323,19.386157,True,False,51
-329.078901,85,19.44635,True,False,52
-559.04325,237,19.614836,True,False,53
-450.036285,289,20.749174,True,False,54
-292.386249,316,20.979984,True,False,55
-338.049673,356,21.236367,True,False,56
-307.359457,380,21.553193,True,False,57
-457.101919,158,21.688582,True,False,58
49.441599,506,22.043358,True,False,59
42.261334,473,23.284268,True,False,60
671.285684,684,23.777236,True,False,61
-487.034072,303,24.011334,True,False,62
-193.112911,379,24.281199,True,False,63
-457.268865,145,24.388242,True,False,64
-268.374046,389,25.573935,True,False,65
-319.451167,333,25.810245,True,False,66
-372.835652,182,25.939512,True,False,67
-301.939382,90,26.002085,True,False,68
-247.994934,355,26.248782,True,False,69
-286.905725,297,26.456053,True,False,70
-545.055803,358,26.702432,True,False,71
-295.256662,491,27.991369,True,False,72
-242.739388,331,28.2227,True,False,73
-66.0585,464,28.542276,True,False,74
-90.446205,408,28.826833,True,False,75
-299.518741,253,29.010027,True,False,76
-309.093844,316,29.232981,True,False,77
-310.933231,117,29.313198,True,False,78
-249.752039,310,30.47361,True,False,79
-593.079317,210,30.623649,True,False,80
-477.330995,127,30.714005,True,False,81
-207.764736,400,30.996434,True,False,82
-356.750456,261,31.178158,True,False,83
-363.241215,269,31.363399,True,False,84
-364.884175,117,31.446291,True,False,85
-343.493509,194,31.581382,True,False,86
-360.840907,367,32.745644,True,False,87
-436.006964,229,32.906926,True,False,88
-354.276865,222,33.062097,True,False,89
-174.937094,407,33.35502,True,False,90
-394.826464,221,33.508574,True,False,91
-566.131038,217,33.658933,True,False,92
-576.941327,180,33.786319,True,False,93
-313.643235,117,33.870588,True,False,94
-730.693685,307,35.037422,True,False,95
-467.094873,256,35.219374,True,False,96
-320.618383,379,35.486711,True,False,97
-241.359977,351,35.735385,True,False,98
-421.862989,135,35.830234,True,False,99
-525.892293,226,36.708629,True,False,100
-493.855426,208,36.876816,True,False,101
-688.970432,228,37.035051,True,False,102
-368.329738,172,37.156466,True,False,103
-290.604488,363,38.30677,True,False,104
-88.613731,389,38.582839,True,False,105
-312.940434,453,38.905054,True,False,106
-378.79605,172,39.040864,True,False,107
-365.46856,156,39.154064,True,False,108
-355.3956,196,39.299097,True,False,109
-454.925937,198,39.441256,True,False,110
-299.049336,402,40.636618,True,False,111
-398.875672,267,40.8293,True,False,112
-407.60586,172,40.953699,True,False,113
-55.24212,422,41.252199,True,False,114
-346.511309,298,41.46465,True,False,115
-329.286106,83,41.522669,True,False,116
-424.347533,182,41.650054,True,False,117
-293.485249,279,41.846159,True,False,118
-322.120746,112,41.927217,True,False,119
-436.374313,264,43.027147,True,False,120
-21.738806,450,43.349214,True,False,121
-349.456152,257,43.533294,True,False,122
