r,l,t,terminated,truncated,episode_count
-121.291486,420,1.389674,True,False,1
-500.032153,179,1.518793,True,False,2
-399.539947,104,1.594776,True,False,3
-470.969069,206,1.744285,True,False,4
-612.800532,241,1.918926,True,False,5
-279.596992,363,2.171855,True,False,6
-424.229407,130,2.267343,True,False,7
-442.750166,279,2.470073,True,False,8
-368.467283,122,2.557972,True,False,9
-313.106663,328,3.71034,True,False,10
-180.993772,401,4.003267,True,False,11
-487.999087,141,4.106836,True,False,12
-178.445787,403,4.399032,True,False,13
-326.293006,320,4.652085,True,False,14
-244.538396,375,4.92436,True,False,15
-357.396716,81,4.980143,True,False,16
-163.128814,399,6.186539,True,False,17
-148.013034,461,6.573929,True,False,18
-241.657777,370,6.871898,True,False,19
-522.7564,353,7.135023,True,False,20
-412.34179,232,7.299855,True,False,21
-334.773117,326,8.503434,True,False,22
-449.016308,210,8.651647,True,False,23
-294.338384,354,8.937373,True,False,24
-358.686531,330,9.179113,True,False,25
-315.864818,332,9.431397,True,False,26
-494.098569,202,9.584514,True,False,27
-520.257044,236,9.760695,True,False,28
-331.390055,317,11.072336,True,False,29
-296.189925,351,11.335368,True,False,30
-316.444831,362,11.600468,True,False,31
-276.027436,380,11.87664,True,False,32
-386.863179,85,11.939266,True,False,33
-407.156267,242,12.117538,True,False,34
-461.743851,335,12.364063,True,False,35
-223.906733,398,13.585832,True,False,36
-214.358678,388,13.873793,True,False,37
-542.525944,231,14.04275,True,False,38
-437.027134,234,14.214393,True,False,39
-419.080607,322,14.474179,True,False,40
-421.859386,201,14.653199,True,False,41
-1356.642652,353,14.917425,True,False,42
-250.744722,352,16.163311,True,False,43
-481.963009,205,16.343791,True,False,44
-429.6316,182,16.475101,True,False,45
-344.215102,292,16.686681,True,False,46
-380.264037,221,16.847475,True,False,47
-89.465009,433,17.152735,True,False,48
-539.156689,150,17.260942,True,False,49
-328.859789,275,17.46291,True,False,50
-309.186428,113,17.546109,True,False,51
-219.821742,374,18.782717,True,False,52
-147.831674,424,19.092895,True,False,53
-39.983766,448,19.416902,True,False,54
-506.783693,123,19.505756,True,False,55
-432.194411,272,19.706053,True,False,56
-153.407345,396,19.99034,True,False,57
-438.617088,169,21.069901,True,False,58
-370.153521,120,21.155964,True,False,59
-493.605294,250,21.336263,True,False,60
-228.966597,526,21.710796,True,False,61
-116.9245,427,22.035411,True,False,62
-200.425612,398,22.321379,True,False,63
-500.107971,134,22.417303,True,False,64
-442.663745,304,23.546221,True,False,65
-150.420602,470,23.914478,True,False,66
-217.554491,373,24.177824,True,False,67
-371.225265,175,24.30347,True,False,68
-405.776097,370,24.567858,True,False,69
-444.240949,277,24.76662,True,False,70
-555.305644,167,25.778817,True,False,71
-367.453074,313,26.008771,True,False,72
-575.970181,272,26.200541,True,False,73
81.850991,487,26.545414,True,False,74
-398.994304,300,26.755746,True,False,75
-354.948406,140,26.852514,True,False,76
-427.899858,240,27.023766,True,False,77
-403.234808,124,27.112468,True,False,78
-456.341729,106,27.188715,True,False,79
-394.894985,181,28.248716,True,False,80
-377.544142,130,28.343433,True,False,81
-477.687848,175,28.468965,True,False,82
-178.607562,364,28.727118,True,False,83
-413.744247,148,28.834257,True,False,84
-209.309768,375,29.095686,True,False,85
-420.808931,224,29.251449,True,False,86
-370.948954,282,29.452689,True,False,87
-400.63221,193,29.589308,True,False,88
