#{"t_start": 1749136034.8916173, "env_id": "None"}
r,l,t,terminated,truncated,episode_count
-439.374046,161,0.134799,True,False,1
-397.102051,137,0.233014,True,False,2
-309.709393,121,0.319032,True,False,3
-276.985389,345,0.561857,True,False,4
-451.853601,150,0.670348,True,False,5
-380.998442,290,0.879068,True,False,6
-487.31203,132,0.972619,True,False,7
-405.627764,275,1.201234,True,False,8
-552.855276,307,1.421979,True,False,9
-251.981941,348,2.779145,True,False,10
-190.113828,386,3.055197,True,False,11
-480.81006,310,3.279143,True,False,12
-162.89375,411,3.571403,True,False,13
-483.361219,233,3.742553,True,False,14
-183.848495,410,4.033942,True,False,15
-482.663979,227,5.118657,True,False,16
-526.357398,346,5.374469,True,False,17
-425.289784,303,5.593779,True,False,18
-421.728721,170,5.716446,True,False,19
-390.487944,277,5.916505,True,False,20
-340.003832,347,6.169083,True,False,21
-287.524624,310,6.394013,True,False,22
-456.369564,157,7.404329,True,False,23
-289.012958,346,7.658529,True,False,24
-372.91344,140,7.764491,True,False,25
-398.005791,238,7.939575,True,False,26
-342.620191,294,8.152939,True,False,27
-93.411842,408,8.444135,True,False,28
-110.655196,423,8.752359,True,False,29
-395.312513,113,8.834575,True,False,30
-313.198475,359,10.008641,True,False,31
-214.833193,439,10.327792,True,False,32
-321.281695,99,10.399843,True,False,33
-398.799206,248,10.579723,True,False,34
-361.003404,108,10.658274,True,False,35
-469.393423,228,10.82812,True,False,36
-419.442196,181,10.959133,True,False,37
-481.915926,250,11.139496,True,False,38
-415.096406,286,12.25287,True,False,39
-318.128324,296,12.489389,True,False,40
-487.624216,148,12.600089,True,False,41
-441.977032,224,12.77046,True,False,42
-369.32476,287,12.98317,True,False,43
-396.747596,238,13.159736,True,False,44
-279.769866,67,13.209521,True,False,45
-322.395313,326,13.452178,True,False,46
-255.709993,374,13.731079,True,False,47
-163.328959,399,15.006883,True,False,48
-64.596966,419,15.311887,True,False,49
-417.20641,194,15.450929,True,False,50
-409.795894,299,15.668367,True,False,51
-449.088732,176,15.794419,True,False,52
-516.571469,191,15.934135,True,False,53
-466.562315,124,16.023429,True,False,54
-122.245883,445,17.297312,True,False,55
-342.651536,300,17.517754,True,False,56
-326.641404,342,17.773762,True,False,57
-111.711251,461,18.106195,True,False,58
-518.077102,171,18.230996,True,False,59
-209.041923,358,18.491363,True,False,60
5.295411,486,19.766745,True,False,61
-389.208865,254,19.958334,True,False,62
-331.683145,209,20.109873,True,False,63
-190.797821,372,20.379583,True,False,64
-477.843218,244,20.556479,True,False,65
-230.44588,328,20.794876,True,False,66
-403.854419,180,20.926159,True,False,67
-375.100121,108,21.005026,True,False,68
-258.60063,318,22.237292,True,False,69
-445.784893,187,22.420588,True,False,70
-179.403942,370,22.726865,True,False,71
-206.932686,529,23.114177,True,False,72
-501.722089,303,23.33214,True,False,73
47.822785,480,24.616217,True,False,74
-391.731448,325,24.848777,True,False,75
-417.210006,233,25.014674,True,False,76
-355.941964,335,25.261052,True,False,77
-425.994805,182,25.39283,True,False,78
-380.237115,246,25.569358,True,False,79
-347.830274,108,25.647035,True,False,80
-251.110204,426,25.960773,True,False,81
-418.395655,150,26.067523,True,False,82
-332.050477,129,27.092984,True,False,83
-388.253266,202,27.248437,True,False,84
-57.198285,411,27.560188,True,False,85
-2.512404,441,27.907667,True,False,86
-287.219843,93,27.975336,True,False,87
-216.724456,452,28.32318,True,False,88
-305.577333,117,28.410568,True,False,89
-250.554271,460,29.695972,True,False,90
9.084558,481,30.042723,True,False,91
-324.172696,107,30.12034,True,False,92
-357.85512,354,30.376469,True,False,93
-461.700005,139,30.477313,True,False,94
-210.787197,397,30.762025,True,False,95
-335.587626,98,30.831596,True,False,96
-373.621567,149,30.939809,True,False,97
-268.780755,377,32.197909,True,False,98
-51.293443,518,32.579879,True,False,99
-403.348535,108,32.838044,True,False,100
-398.777015,169,32.970371,True,False,101
-254.119338,405,33.271348,True,False,102
-412.72991,174,33.400888,True,False,103
-334.3279,236,33.575978,True,False,104
-347.183381,304,34.724191,True,False,105
-408.341222,211,34.887992,True,False,106
-152.14385,413,35.195105,True,False,107
-406.771532,193,35.335419,True,False,108
-452.115252,165,35.455787,True,False,109
-68.617824,430,35.767775,True,False,110
-252.821928,306,35.988698,True,False,111
-568.790255,232,37.058148,True,False,112
-396.169727,96,37.129486,True,False,113
-290.282619,331,37.376577,True,False,114
2482.819734,1010,38.131538,True,False,115
-64.896982,426,38.450874,True,False,116
-326.43986,292,39.582662,True,False,117
67.209073,470,39.924645,True,False,118
-359.111233,157,40.039485,True,False,119
-35.217233,429,40.354756,True,False,120
-542.112455,379,40.629322,True,False,121
-300.251721,380,40.912344,True,False,122
-321.738523,93,41.871215,True,False,123
-465.109879,115,41.95665,True,False,124
-591.443628,293,42.183961,True,False,125
-436.730588,244,42.364364,True,False,126
-371.109663,234,42.537023,True,False,127
-411.612231,187,42.677834,True,False,128
242.78689,547,43.082983,True,False,129
-324.783698,97,43.154837,True,False,130
-144.931467,371,44.395298,True,False,131
-294.360879,76,44.46133,True,False,132
-416.247095,226,44.670741,True,False,133
-111.440423,405,45.001375,True,False,134
-377.619718,249,45.185591,True,False,135
2275.219025,919,45.855732,True,False,136
-559.077499,300,47.002046,True,False,137
-352.703017,197,47.148317,True,False,138
168.022157,496,47.508495,True,False,139
-634.771756,166,47.631899,True,False,140
-481.204086,244,47.813434,True,False,141
-217.285684,361,48.077066,True,False,142
6.015826,475,49.325459,True,False,143
-435.464588,143,49.433035,True,False,144
-358.972538,261,49.622957,True,False,145
-273.281408,300,49.846509,True,False,146
41.44562,458,50.183805,True,False,147
-82.924378,435,50.503271,True,False,148
-503.693711,177,50.631857,True,False,149
-398.837101,147,50.73859,True,False,150
258.671747,520,52.058138,True,False,151
-387.01488,215,52.212279,True,False,152
-161.005872,379,52.489824,True,False,153
-157.557323,377,52.777706,True,False,154
-340.173112,259,52.973796,True,False,155
-10.86613,490,54.286297,True,False,156
-79.038838,443,54.603467,True,False,157
